,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
245883,1.2287700365917869,3.956379278786423,-9.239817042531975,0.04711207533136533,0.01442177974616315,-0.0006154809936902627,1.5901765739283578,-15.539401286878661,-159.28558496893604,0.99875593,0.047627587,-0.014754103,0.0007035776
245883,1.2296593152646778,3.9521105895711592,-9.231800980330666,0.042746729238581194,0.01754246050661957,-0.005233714306777982,1.753097542889496,-15.467536164506583,-159.186519159369,0.9950319,0.095117204,-0.029267559,0.0027977482
245883,1.2296443130535106,3.948149253156578,-9.22352952698991,0.03837508019319573,0.02064786531801653,-0.009734269203161647,1.915933374654746,-15.396106648720119,-159.08972073224317,0.9888401,0.14241445,-0.043297693,0.006235808
245883,1.2287029675187833,3.9445363542119223,-9.214876473835472,0.03403211492511911,0.023696221958608377,-0.014056015841218001,2.076350416848865,-15.32659320185126,-158.99578455226978,0.9801938,0.18946053,-0.05661237,0.010942539
245883,1.2268397982544959,3.9413040230542458,-9.205724259261356,0.029752844832368626,0.026646180276799315,-0.018140363968341656,2.2320248642995817,-15.260506897876807,-158.90521275136246,0.96910846,0.23619059,-0.06899258,0.016814835
245883,1.2240867960400952,3.938474714844223,-9.195967081211933,0.025571908247592284,0.02945749527443256,-0.02193239071505133,2.3806904686367236,-15.199363733349948,-158.81840805254225,0.95560205,0.28253186,-0.08023558,0.02372233
245913,1.2205036231064923,3.9360607316251888,-9.18551386795754,0.021523176696436268,0.032091699312408406,-0.025381918715792817,2.5201850749275803,-15.144657235382954,-158.73567022721542,0.93969697,0.32840225,-0.09015863,0.031508345
245913,1.2161770920175048,3.934064004303743,-9.174291044023128,0.01763936960718836,0.034512751044537146,-0.028444521364803903,2.648494936143424,-15.097829824108738,-158.65719577886986,0.9214225,0.37370944,-0.098603114,0.039991338
245913,1.2112199077976,3.932476145435196,-9.162245030533684,0.0139516816838091,0.03668764897206951,-0.03108243294283814,2.763795809100053,-15.060243447459808,-158.58308084798173,0.90081525,0.41834995,-0.10543882,0.048967116
245913,1.2057686760651283,3.931278777007529,-9.149344422863217,0.010489426870307435,0.03858699803283738,-0.033265342776468095,2.864489912126822,-15.033150058085589,-158.51332723315699,0.87792283,0.4622096,-0.11056834,0.058212124
245913,1.1999811986260511,3.93044413047259,-9.135581793261933,0.007279702523082895,0.040185518387224436,-0.03497105449950366,2.949237923151876,-15.01766254384753,-158.44785132527065,0.85280406,0.5051638,-0.113931,0.06748774
245913,1.1940330967870572,3.9299359092234947,-9.120975072012333,0.004347077078778177,0.04146248652564208,-0.03618599384816261,3.016985314666848,-15.014726752815072,-158.38649565764982,0.8255319,0.54707956,-0.11550632,0.07654598
245943,1.1881138210826891,3.9297103967402864,-9.105568467532102,0.0017133041672698142,0.04240209998196439,-0.036905551199670455,3.0669824562023513,-15.025095269488439,-158.32904268914618,0.811124,0.5675934,-0.11562525,0.08091011
245943,1.182422123697657,3.9297177869023234,-9.089432893584153,-0.0006029342192441912,0.04299375827374679,-0.037134248209364305,3.098798062164483,-15.049303599833996,-158.27523036106624,0.79627293,0.5877166,-0.11530635,0.085105814
245943,1.1771610861295199,3.929903706674146,-9.072665880240482,-0.0025862532225133395,0.0432322541788094,-0.03688572135607358,3.1123257195063987,-15.087649407707358,-158.22476890593228,0.78103554,0.6073877,-0.11456729,0.0890955
245943,1.1725328091253353,3.9302108956841857,-9.055390954331765,-0.004224757321753821,0.04311787107169451,-0.03618251890301829,3.1077833918824473,-15.14017541381189,-158.17735833815033,0.7654721,0.62655026,-0.113432065,0.09284582
245943,1.1687328842182245,3.9305810022937973,-9.037756484643594,-0.00551019759052401,0.04265638375291382,-0.03505571164791892,3.085705960689271,-15.206656520364369,-158.1327060256674,0.749646,0.64515376,-0.111930296,0.096328475
245943,1.1659447759099049,3.9309564517435316,-9.019933996929625,-0.006438092638368305,0.04185896197717728,-0.03354432179184622,3.0469310247621344,-15.286591660424891,-158.09054372893704,0.7336218,0.66315424,-0.110096075,0.09952088
245973,1.1643342503721101,3.9312823389904867,-9.00211597373362,-0.00700781213399431,0.0407419776910123,-0.031694578217738786,2.992578335577849,-15.379200791157917,-158.05064349977803,0.71746457,0.68051505,-0.10796687,0.102406554
245973,1.164043990217225,3.9315082970175492,-8.984513163875866,-0.007222622052730164,0.039326718791712345,-0.029559010350215843,2.9240233899148276,-15.48342735634169,-158.0128318582393,0.7012384,0.6972067,-0.10558231,0.10497528
245973,1.1651885352331488,3.9315902907784475,-8.967351436094445,-0.007089691019761958,0.03763901398468433,-0.027195396481467998,2.842865833606818,-15.597946436890366,-157.97700171001532,0.68500566,0.7132075,-0.10298308,0.10722291
