,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1229.415,1.2010535443571762,3.964852008491241,-9.234085861063155,1.935734282968947,-0.8537828420812555,1.3616796299549891,54.08491471153561,101.1675721259098,-123.17882116050906,0.9987515,0.04781074,-0.014461652,0.00069228665
1229.415,1.1922222808684275,3.9657130140838164,-9.219865862530046,1.83101461648918,-0.9788480253399606,1.3141316357672947,53.86708189796662,101.1891492977645,-123.25208607146165,0.9950144,0.09550422,-0.028597776,0.0027448928
1229.415,1.1929363329764198,3.9651260455883985,-9.21767312772019,1.7360294006331707,-0.9978883574225821,1.2644730477120287,53.790241424434015,101.18612556288785,-123.25347537070999,0.988802,0.14299242,-0.042265695,0.0061121183
1229.415,1.2092378030482354,3.9620045027590085,-9.234148319527305,1.6522560112365754,-0.8378943251746406,1.204486577015092,53.95304516145828,101.14326051360901,-123.13166275687,0.9801292,0.19017963,-0.055346854,0.010739242
1229.415,1.241935167148869,3.9559080863304383,-9.268886580808527,1.5698510006088449,-0.482149186658059,1.1221824988360232,54.37844678966318,101.05828648820733,-122.87391409395322,0.9690122,0.2369724,-0.06771254,0.016559133
1229.415,1.2862809573277856,3.9471351747630576,-9.314208742212736,1.466283499858145,0.024180730658728864,1.0025146620948036,55.00434467023026,100.94291125661319,-122.50987459523505,0.95547086,0.28328583,-0.079203404,0.023482872
1229.565,1.3334326751383316,3.9366147492345838,-9.357412985883034,1.3093350096940921,0.5872840886907428,0.8299141479660804,55.69925559783034,100.81943287435473,-122.10265803907103,0.9395277,0.32904387,-0.08962506,0.031388722
1229.565,1.373156807516897,3.9256394472974674,-9.384721019484644,1.0647417637478749,1.0923275714845233,0.592383821157435,56.298638825321355,100.71415704165454,-121.73055385814357,0.9212112,0.374176,-0.09875877,0.04011367
1229.565,1.3968332005783248,3.915525559471304,-9.385547977923206,0.7073478274257916,1.4366705031889977,0.28627538969815586,56.65153737410661,100.64984658514233,-121.46539633072085,0.90055734,0.4186098,-0.10638201,0.04944999
1229.565,1.399759807459788,3.907300561030569,-9.355632288442887,0.23303143923869046,1.5584450253197213,-0.0796702587306802,56.664203386984866,100.63967916163342,-121.35422406936438,0.87761307,0.46226308,-0.11229325,0.059147958
1229.565,1.3820574463933426,3.90150195639822,-9.297996721113753,-0.3324908814919075,1.4521258937774664,-0.4826197307738539,56.3281793253923,100.68456895522306,-121.40925214488541,0.8524389,0.5050378,-0.11633582,0.06892456
1229.565,1.3480094935253666,3.898131297713663,-9.221516269851751,-0.9318951809025617,1.167117773334468,-0.8874842109432072,55.72468406274392,100.77446242792013,-121.60811190777768,0.8251117,0.54681754,-0.11841686,0.07847716
1229.715,1.3042357427065967,3.8967590500989195,-9.137743384951063,-1.4839253725068842,0.7908059293771084,-1.2525169229798025,55.00385188542689,100.89281162955612,-121.90297037697643,0.8107036,0.5672592,-0.11866812,0.08303354
1229.715,1.257480805737728,3.896734689884633,-9.057256362205347,-1.9001129915711763,0.42215077198898565,-1.5375926202632602,54.34448638780474,101.02237361442626,-122.23469117189804,0.7958674,0.5873219,-0.11838638,0.08736494
1229.715,1.2128593850644256,3.897432542073299,-8.98691683306918,-2.1068712363240514,0.14431984834819356,-1.7129631909176506,53.905505082078896,101.15015068625503,-122.54735855496139,0.78065956,0.606945,-0.117596924,0.09142891
1229.715,1.173135110987535,3.898460981019252,-8.929000085129706,-2.066776716114193,0.0044276860632299405,-1.7658325505627936,53.782614266934274,101.26976671015292,-122.79929137876135,0.7651374,0.62607384,-0.1163379,0.09519352
1229.715,1.1391363649689157,3.899778174704889,-8.882362260998667,-1.79219672072799,0.005555790050798933,-1.7026066868436467,53.98231604634705,101.38066011906575,-122.96854413399572,0.7493592,0.6446595,-0.11465494,0.098635465
1229.715,1.1109298711454019,3.901685387238546,-8.844949220429395,-1.346134188430617,0.11199705040463849,-1.546051912514029,54.420530069377364,101.48473999777035,-123.05294011913068,0.73338544,0.6626588,-0.112597756,0.10173899
1229.865,1.089076725316465,3.904701793745489,-8.816381761416352,-0.8288755724270125,0.2645908593086121,-1.3283494259527537,54.94627122430725,101.58212238803979,-123.06611906216197,0.71727794,0.680033,-0.11021903,0.104495876
1229.865,1.0753009397052093,3.9093560541810426,-8.799311778991003,-0.35355441408866833,0.40037477233870505,-1.082475138305631,55.38387153958333,101.66788900671624,-123.03154072119958,0.70109904,0.6967487,-0.10757465,0.106907144
1229.865,1.072196874156544,3.9159534333441113,-8.798766242950276,-0.017500369328849217,0.4702553771452635,-0.8348566963826037,55.58209774654103,101.73138507954273,-122.97601638625603,0.68490994,0.7127789,-0.10472332,0.10898452
