,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964,0.0239211317365269,1.6001379776546818,-15.582782704156928,-159.28471255509893,0.99875593,0.047726013,-0.0144319525,0.00068963744
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964,0.0239211317365269,1.6001379776546818,-15.582782704156928,-159.28471255509893,0.9950319,0.0953173,-0.028608756,0.0027405242
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964,0.0239211317365269,1.6001379776546818,-15.582782704156928,-159.28471255509893,0.9888408,0.14271322,-0.042303015,0.0061053303
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964,0.0239211317365269,1.6001379776546818,-15.582782704156928,-159.28471255509893,0.98019636,0.1898497,-0.055295505,0.010709932
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964,0.0239211317365269,1.6001379776546818,-15.582782704156928,-159.28471255509893,0.9691143,0.23665747,-0.0673784,0.016453788
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964,0.0239211317365269,1.6001379776546818,-15.582782704156928,-159.28471255509893,0.9556139,0.28306037,-0.078358725,0.02321047
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269,5.613734912965481,-16.35148618596379,-156.1969793270688,0.93971163,0.3286621,-0.08916689,0.031185929
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269,5.613734912965481,-16.35148618596379,-156.1969793270688,0.9214327,0.37371492,-0.098504454,0.039951466
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269,5.613734912965481,-16.35148618596379,-156.1969793270688,0.90080976,0.41812256,-0.10622705,0.049306665
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269,5.613734912965481,-16.35148618596379,-156.1969793270688,0.8778859,0.46177745,-0.112221204,0.059029568
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269,5.613734912965481,-16.35148618596379,-156.1969793270688,0.8527151,0.50456065,-0.11640875,0.068880305
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269,5.613734912965481,-16.35148618596379,-156.1969793270688,0.82536536,0.5463434,-0.11875093,0.078606136
245943,1.192331,3.893031,-8.940085,-0.0375098263473053,0.0031815089820359,-0.032538868263473,1.6199262107055692,-15.480865846619889,-158.24740254057005,0.81093633,0.56688535,-0.118836574,0.083072744
245943,1.192331,3.893031,-8.940085,-0.0375098263473053,0.0031815089820359,-0.032538868263473,1.6199262107055692,-15.480865846619889,-158.24740254057005,0.79606444,0.58703417,-0.1184839,0.087372445
245943,1.192331,3.893031,-8.940085,-0.0375098263473053,0.0031815089820359,-0.032538868263473,1.6199262107055692,-15.480865846619889,-158.24740254057005,0.7808056,0.60672957,-0.11770991,0.091467194
245943,1.192331,3.893031,-8.940085,-0.0375098263473053,0.0031815089820359,-0.032538868263473,1.6199262107055692,-15.480865846619889,-158.24740254057005,0.7652195,0.6259166,-0.11653766,0.095322795
245943,1.192331,3.893031,-8.940085,-0.0375098263473053,0.0031815089820359,-0.032538868263473,1.6199262107055692,-15.480865846619889,-158.24740254057005,0.7493685,0.6445463,-0.11499538,0.09890974
245943,1.192331,3.893031,-8.940085,-0.0375098263473053,0.0031815089820359,-0.032538868263473,1.6199262107055692,-15.480865846619889,-158.24740254057005,0.7333161,0.66257584,-0.113115564,0.10220372
245973,1.06783,3.921762,-8.815585,0.0008401736526946,0.0063775089820359,-0.012298868263473,3.572000014470733,-14.529216194314174,-159.137841726235,0.717184,0.6799799,-0.1107087,0.10496566
245973,1.06783,3.921762,-8.815585,0.0008401736526946,0.0063775089820359,-0.012298868263473,3.572000014470733,-14.529216194314174,-159.137841726235,0.70098627,0.69671255,-0.10805523,0.10739643
245973,1.06783,3.921762,-8.815585,0.0008401736526946,0.0063775089820359,-0.012298868263473,3.572000014470733,-14.529216194314174,-159.137841726235,0.68478376,0.712753,-0.10519461,0.10949118
245973,1.06783,3.921762,-8.815585,0.0008401736526946,0.0063775089820359,-0.012298868263473,3.572000014470733,-14.529216194314174,-159.137841726235,0.668635,0.72808826,-0.10216612,0.11125046
245973,1.06783,3.921762,-8.815585,0.0008401736526946,0.0063775089820359,-0.012298868263473,3.572000014470733,-14.529216194314174,-159.137841726235,0.65259486,0.7427118,-0.09900781,0.1126798
