,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
0.0,-3.1052856,6.116952,15.482161,0.76722413,0.4300365,0.3310792,86.25,37.275,-458.475,0.9988631,-0.04277452,-0.021023452,-0.00090029143
0.005,-3.1914272,6.5141606,14.7044935,0.85885125,0.43492326,0.3616216,85.8,36.600002,-458.55002,0.9954671,-0.08481088,-0.04287932,-0.003653191
0.01,-3.3589249,6.686444,13.93879,0.9101624,0.4495836,0.38361207,85.8,36.600002,-458.55002,0.98983,-0.12617865,-0.065165,-0.008306913
0.015,-3.4187453,6.578767,13.216158,0.919936,0.467909,0.39460734,85.950005,36.375,-457.87503,0.9819608,-0.1669548,-0.08750915,-0.014878469
0.02,-3.5694933,6.222236,12.653844,0.8955021,0.4874561,0.38972056,85.950005,36.375,-457.87503,0.9718589,-0.20722313,-0.1095592,-0.023360593
0.025,-3.7154553,5.5283175,12.335599,0.8490777,0.50211644,0.37506023,86.475006,37.275,-458.85,0.9595123,-0.24707283,-0.13097252,-0.033725202
0.03,-3.9427736,4.805685,12.388241,0.7941014,0.5082249,0.34818295,86.475006,37.275,-458.85,0.9448961,-0.28659663,-0.15140939,-0.04592401
0.035,-4.150949,4.214658,12.541382,0.79532313,0.50700325,0.35062632,86.325005,36.45,-458.62503,0.9279715,-0.32588792,-0.17052755,-0.0598864
0.04,-4.3758745,3.7432718,12.555738,0.82342213,0.51433337,0.37139514,86.325005,36.45,-458.62503,0.90868586,-0.36503688,-0.18797809,-0.07551448
0.045,-4.447659,3.2144582,12.560524,0.8881719,0.5351022,0.39094225,86.475006,36.375,-459.075,0.8869731,-0.4041249,-0.20340353,-0.09267522
0.05,-4.447659,2.7095726,12.3810625,0.9626953,0.55342764,0.41171107,86.475006,36.375,-459.075,0.862757,-0.4432169,-0.21643922,-0.1111895
0.055,-4.2801614,2.1185453,12.041282,1.0225583,0.5522059,0.43858832,86.55,36.300003,-459.37503,0.83595586,-0.4823514,-0.22671898,-0.13081817
0.06,-4.0959144,1.7811574,11.407184,1.0897515,0.527772,0.46180052,86.55,36.300003,-459.37503,0.80649227,-0.52152807,-0.23388745,-0.15124616
0.065,-3.638885,1.570589,11.110474,1.1349542,0.48256934,0.47890425,86.625,35.775,-458.1,0.7917073,-0.540003,-0.23598425,-0.16095872
0.07,-3.3182468,1.5801603,10.182058,1.1654966,0.4300365,0.47768256,86.625,35.775,-458.1,0.7763235,-0.55841523,-0.23736583,-0.17073902
0.075,-3.251248,1.6854445,9.655638,1.1618315,0.39582902,0.4666873,87.225006,34.725002,-458.1,0.7603467,-0.5767664,-0.23796777,-0.18051216
0.08,-3.2392836,1.8888344,8.968898,1.1349542,0.3542914,0.45324868,87.225006,34.725002,-458.1,0.7437863,-0.5950576,-0.23772936,-0.1901926
0.085,-3.2033913,2.2525434,8.346764,1.0457705,0.30664533,0.43370155,85.875,34.95,-458.77502,0.7266556,-0.6132868,-0.23659565,-0.19968331
0.09,-3.1579278,2.5396821,7.681559,0.9382614,0.27121618,0.4263714,85.875,34.95,-458.77502,0.70897514,-0.6314468,-0.23452102,-0.20887552
0.095,-3.0502508,2.6688945,7.0642104,0.8014316,0.23823044,0.41659784,86.175,34.875,-458.85,0.690774,-0.6495234,-0.23147207,-0.21764936
0.1,-2.8923244,2.8076782,6.5928245,0.64016795,0.20768806,0.39582902,86.175,34.875,-458.85,0.67209244,-0.6674932,-0.22743137,-0.22587502
0.105,-2.614757,2.8962128,6.044868,0.45691374,0.1771457,0.36284328,86.175,34.575,-457.95,0.65298384,-0.6853228,-0.22240095,-0.23341534
0.11,-2.5070798,2.8986056,5.843871,0.26266432,0.14415996,0.3286358,86.175,34.575,-457.95,0.63351595,-0.7029681,-0.2164052,-0.24012966
0.115,-2.3491535,2.8148568,5.776872,0.0684149,0.10384403,0.29931515,86.25,34.5,-458.17502,0.61377156,-0.7203754,-0.20949294,-0.24587901
0.12,-2.1625135,2.7047868,5.7338014,-0.12461284,0.067193195,0.27488127,86.25,34.5,-458.17502,0.5938473,-0.73748267,-0.20173758,-0.25053236
0.125,-1.9280169,2.4990041,5.8414783,-0.3115321,0.02443389,0.25655586,86.625,34.65,-458.55002,0.57385164,-0.7542226,-0.19323616,-0.25397345
0.13,-1.6719848,2.2334008,5.994619,-0.49722967,-0.018325418,0.24067383,87.225006,34.725002,-458.1,0.5539005,-0.7705248,-0.18410556,-0.2561072
0.135,-1.4015958,1.9486549,6.236294,-0.6646018,-0.06474981,0.22723518,87.225006,34.725002,-458.1,0.5341131,-0.7863209,-0.1744778,-0.25686607
