,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1229.415,1.2010535443571762,3.964852008491241,-9.234085861063155,1.9472274566261407,-0.8239693331009171,1.3408587616957277,1.6106433284833985,-15.572644313897454,-159.26783811265508,0.9987515,0.04781125,-0.014460312,0.0006922299
1229.415,1.1922222808684275,3.9657130140838164,-9.219865862530046,1.8425077901439122,-0.9490345163593064,1.2933107675065545,1.250688457498179,-15.541486402077778,-159.3951723181434,0.99501437,0.09550532,-0.028594797,0.0027446393
1229.415,1.1929363329764198,3.9651260455883985,-9.21767312772019,1.747522574285418,-0.9680748484414677,1.243652179450043,1.1241599226147279,-15.546488131173307,-159.39909849772621,0.9888019,0.14299418,-0.04226085,0.0061114924
1229.415,1.2092378030482354,3.9620045027590085,-9.234148319527305,1.663749184886794,-0.8080808161930257,1.1836657087521818,1.3943962576979467,-15.609511574609272,-159.19132799831763,0.98012906,0.19018205,-0.055339992,0.010738047
1229.415,1.241935167148869,3.9559080863304383,-9.268886580808527,1.5813441742577672,-0.4523356776760112,1.1013616305725114,2.0994111172245264,-15.733404872157763,-158.74985356281485,0.9690122,0.23697549,-0.06770359,0.01655716
1229.415,1.2862809573277856,3.9471351747630576,-9.314208742212736,1.477776673506572,0.053994239641069225,0.9816937938309511,3.1364202205738954,-15.900589262291794,-158.12550904455034,0.9554707,0.28328946,-0.07919234,0.023479898
1229.565,1.3334326751383316,3.9366147492345838,-9.357412985883034,1.320828183342739,0.6170975976732249,0.8090932797020522,4.287808341684695,-16.078105508063285,-157.42672861341129,0.93952763,0.3290481,-0.08961198,0.03138455
1229.565,1.373156807516897,3.9256394472974674,-9.384721019484644,1.0762349373972944,1.1221410804670477,0.5715629528933036,5.281264248631992,-16.227364391066907,-156.78815829126717,0.9212111,0.37418067,-0.09874381,0.0401081
1229.565,1.3968332005783248,3.915525559471304,-9.385547977923206,0.7188410010763576,1.4664840121715448,0.2654545214339397,5.866961905155488,-16.31529227078159,-156.333458347888,0.90055734,0.41861475,-0.106365375,0.049442843
1229.565,1.399759807459788,3.907300561030569,-9.355632288442887,0.24452461289061084,1.5882585343023352,-0.10049112699496042,5.889715815750631,-16.323183665292213,-156.1436649285634,0.87761325,0.46226826,-0.11227523,0.059139125
1229.565,1.3820574463933426,3.90150195639822,-9.297996721113753,-0.3209977078385872,1.4819394027602044,-0.5034405990381289,5.335392869879249,-16.25049307451697,-156.2397674401795,0.85243934,0.505043,-0.11631674,0.06891395
1229.565,1.3480094935253666,3.898131297713663,-9.221516269851751,-0.9204020072479759,1.196931282317337,-0.908305079207349,4.33812561142241,-16.112668704904724,-156.5829359367143,0.8251123,0.54682267,-0.118397124,0.078464754
1229.715,1.3042357427065967,3.8967590500989195,-9.137743384951063,-1.4724321988513644,0.8206194383600118,-1.2733377912436614,3.1459622039813815,-15.934258643421373,-157.0901124555243,0.8107043,0.5672644,-0.11864765,0.0830199
1229.715,1.257480805737728,3.896734689884633,-9.057256362205347,-1.8886198179152291,0.45196428097171,-1.5584134885267305,2.054345863716117,-15.740127748490131,-157.65845345908335,0.79586834,0.58732706,-0.11836535,0.087350085
1229.715,1.2128593850644256,3.897432542073299,-8.98691683306918,-2.0953780626682734,0.17413335733045196,-1.7337840591807336,1.3259100704692894,-15.54813744973024,-158.19060660474304,0.7806607,0.60695016,-0.11757546,0.09141289
1229.715,1.173135110987535,3.898460981019252,-8.929000085129706,-2.055283542459133,0.03424119504475473,-1.7866534188256233,1.1189525593000358,-15.365900423664101,-158.61410404766482,0.7651386,0.62607896,-0.11631615,0.09517633
1229.715,1.1391363649689157,3.899778174704889,-8.882362260998667,-1.7807035470739982,0.035369299031449065,-1.7234275551064584,1.444549087078975,-15.192532225759807,-158.89129071201683,0.7493607,0.6446646,-0.11463305,0.09861721
1229.715,1.1109298711454019,3.901685387238546,-8.844949220429395,-1.3346410147777399,0.1418105593844768,-1.5668727807770801,2.1642945933956086,-15.02432963349616,-159.019687616015,0.73338705,0.6626637,-0.11257585,0.10171972
1229.865,1.089076725316465,3.904701793745489,-8.816381761416352,-0.8173823987749882,0.29440436828791455,-1.3491702942162345,3.029368037675519,-14.86175584330751,-159.02518509459924,0.7172797,0.68003774,-0.11019724,0.10447568
1229.865,1.0753009397052093,3.9093560541810426,-8.799311778991003,-0.34206124043702585,0.4301882813178916,-1.1032960065695991,3.750160580167256,-14.714576622758596,-158.95133656881112,0.701101,0.6967532,-0.10755311,0.10688612
