,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1229.415,1.2287700365917869,3.956379278786423,-9.239817042531975,2.052313109536706,-0.8520778001606008,1.1368661589376001,1.5901765739283578,-15.539401286878661,-159.28558496893604,0.9987512,0.047714096,-0.014793949,0.00070676254
1229.415,1.2296593152646778,3.9521105895711592,-9.231800980330666,1.8021973366437096,-0.6732759490491411,0.8722612434454904,1.753097542889496,-15.467536164506583,-159.186519159369,0.9950142,0.09527771,-0.029343378,0.002809779
1229.415,1.2296443130535106,3.948149253156578,-9.22352952698991,1.5517203247189317,-0.49534931225780365,0.6143988451536455,1.915933374654746,-15.396106648720119,-159.08972073224317,0.9888031,0.14263712,-0.043401983,0.0062608356
1229.415,1.2287029675187833,3.9445363542119223,-9.214876473835472,1.302886668009158,-0.32069126076061255,0.36678143754374426,2.076350416848865,-15.32659320185126,-158.99578455226978,0.98013335,0.18973427,-0.05673476,0.010982717
1229.415,1.2268397982544959,3.9413040230542458,-9.205724259261356,1.0577023760971744,-0.15167098327652392,0.13276598563530018,2.2320248642995817,-15.260506897876807,-158.90521275136246,0.96902174,0.23650487,-0.06912074,0.016869996
1229.415,1.2240867960400952,3.938474714844223,-9.195967081211933,0.8181520853493233,0.009405651460606023,-0.08450067164817897,2.3806904686367236,-15.199363733349948,-158.81840805254225,0.9554882,0.28287667,-0.08035636,0.023789868
1229.565,1.2205036231064923,3.9360607316251888,-9.18551386795754,0.5861764990372822,0.16033460919890577,-0.2821435930299574,2.5201850749275803,-15.144657235382954,-158.73567022721542,0.93955696,0.32876793,-0.09025911,0.03158329
1229.565,1.2161770920175048,3.934064004303743,-9.174291044023128,0.36365031164353356,0.29905087130492874,-0.4576173315698923,2.648494936143424,-15.097829824108738,-158.65719577886986,0.92125887,0.37408656,-0.09867179,0.04006668
1229.565,1.2112199077976,3.932476145435196,-9.162245030533684,0.1523608586905488,0.4236635888294777,-0.6087580808535937,2.763795809100053,-15.060243447459808,-158.58308084798173,0.9006322,0.41872916,-0.10546648,0.049034324
1229.565,1.2057686760651283,3.931278777007529,-9.149344422863217,-0.04601228284624704,0.5324885456715214,-0.7338291767407402,2.864489912126822,-15.033150058085589,-158.51332723315699,0.8777259,0.4625818,-0.11054894,0.058261845
1229.565,1.1999811986260511,3.93044413047259,-9.135581793261933,-0.22991653631901743,0.6240773098822335,-0.8315588700421371,2.949237923151876,-15.01766254384753,-158.44785132527065,0.8526001,0.50552034,-0.11386219,0.06751073
1229.565,1.1940330967870572,3.9299359092234947,-9.120975072012333,-0.3979442210129535,0.6972425072954466,-0.9011694208334594,3.016985314666848,-15.014726752815072,-158.38649565764982,0.82532865,0.5474124,-0.1153896,0.076533996
1229.715,1.1881138210826891,3.9297103967402864,-9.105568467532102,-0.5488489325686388,0.7510787181208035,-0.9423967242833683,3.0669824562023513,-15.025095269488439,-158.32904268914618,0.8109359,0.5679007,-0.11546796,0.08086254
1229.715,1.182422123697657,3.9297177869023234,-9.089432893584153,-0.6815602586172992,0.7849785737038393,-0.9554998580913151,3.098798062164483,-15.049303599833996,-158.27523036106624,0.7961064,0.5879928,-0.11511175,0.085019894
1229.715,1.1771610861295199,3.929903706674146,-9.072665880240482,-0.7951966990705537,0.798643715956157,-0.9412601395695034,3.1123257195063987,-15.087649407707358,-158.22476890593228,0.7808961,0.607628,-0.11434018,0.08896996
1229.715,1.1725328091253353,3.9302108956841857,-9.055390954331765,-0.8890766788661417,0.7920903744296084,-0.9009694922521957,3.1077833918824473,-15.14017541381189,-158.17735833815033,0.76536494,0.62675136,-0.1131785,0.092681
1229.715,1.1687328842182245,3.9305810022937973,-9.037756484643594,-0.9627275584013764,0.7656494139496117,-0.8364081434463423,3.085705960689271,-15.206656520364369,-158.1327060256674,0.7495751,0.6453136,-0.11165714,0.09612629
1229.715,1.1659447759099049,3.9309564517435316,-9.019933996929625,-1.0158925632332463,0.7199608073234184,-0.7498119007893698,3.0469310247621344,-15.286591660424891,-158.09054372893704,0.73358995,0.66327196,-0.10981062,0.09928477
1229.865,1.1643342503721101,3.9312823389904867,-9.00211597373362,-1.0485355698281946,0.6559625910127219,-0.6438294828506549,2.992578335577849,-15.379200791157917,-158.05064349977803,0.71747375,0.6805913,-0.1076765,0.102141276
1229.865,1.164043990217225,3.9315082970175492,-8.984513163875866,-1.0608436982389517,0.5748744648796535,-0.5214706011600287,2.9240233899148276,-15.48342735634169,-158.0128318582393,0.701289,0.6972429,-0.10529407,0.10468658
