,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1773726884638,-0.59760743,2.8411777,9.208179,0.16859384,0.21868332,0.09529217,82.575005,43.275,-452.92502,0.99997187,0.00735224,0.0015543294,-1.1428126e-05
1773726884643,-0.59282184,2.7789643,9.193823,0.14049487,0.19424942,0.08674031,83.175,44.025,-453.225,0.9998945,0.014203841,0.0030231474,-4.294483e-05
1773726884648,-0.56410795,2.7382865,9.282357,0.08063184,0.13560809,0.067193195,83.175,44.025,-453.225,0.99977934,0.020554947,0.004330644,-8.90358e-05
1773726884653,-0.57846487,2.714358,9.337392,0.020768806,0.06230642,0.041537613,82.950005,42.45,-450.975,0.99963343,0.026491852,0.0055984207,-0.00014836693
1773726884658,-0.590429,2.702394,9.421141,-0.03420745,-0.01343864,0.018325418,82.950005,42.45,-450.975,0.99946326,0.03204424,0.0068169357,-0.00021856083
1773726884663,-0.6263213,2.78375,9.442677,-0.07452337,-0.07818845,0.002443389,82.05,43.425003,-453.37503,0.9992645,0.037493147,0.008054214,-0.00030220012
1773726884668,-0.6023931,2.7646074,9.387642,-0.10628742,-0.13072132,-0.009773556,82.05,43.425003,-453.37503,0.9990474,0.04266216,0.009175203,-0.0003918072
1773726884673,-0.6023931,2.7670002,9.327821,-0.10384403,-0.1331647,-0.008551862,81.675,43.5,-453.45,0.99881285,0.047620114,0.010247515,-0.0004885678
1773726884678,-0.5880362,2.7957141,9.299107,-0.0904054,-0.11361759,-0.0036650836,81.675,43.5,-453.45,0.9985618,0.052419506,0.011232597,-0.00058965525
1773726884683,-0.549751,2.8196423,9.277572,-0.06352811,-0.083075225,0.004886778,81.675,43.5,-453.45,0.9982979,0.05705326,0.012073912,-0.0006900305
1773726884688,-0.4660022,2.8172495,9.287143,-0.030542362,-0.0452027,0.017103724,81.675,43.5,-453.45,0.9980298,0.061445996,0.012661073,-0.00077950803
1773726884693,-0.39661035,2.8005,9.263215,0.0,-0.0061084726,0.02443389,83.775,42.975002,-450.825,0.9977605,0.06559878,0.013047353,-0.0008578115
1773726884698,-0.34636107,2.7670002,9.2488575,0.025655584,0.028098974,0.02687728,83.775,42.975002,-450.825,0.9974947,0.06947568,0.013289839,-0.00092563964
1773726884703,-0.30329028,2.7119653,9.2488575,0.042759307,0.05986303,0.02443389,82.875,41.775,-449.7,0.9972393,0.07302768,0.013412778,-0.0009822156
1773726884708,-0.29132617,2.6808586,9.268001,0.046424393,0.07207998,0.020768806,82.875,41.775,-449.7,0.996992,0.07631377,0.0134981405,-0.0010332018
1773726884713,-0.31764722,2.6688945,9.306286,0.041537613,0.0684149,0.01343864,83.175,42.675003,-451.42502,0.99675065,0.07937946,0.01364172,-0.0010864026
1773726884718,-0.31286156,2.6377878,9.332606,0.029320668,0.05619795,0.0036650836,83.175,42.675003,-451.42502,0.99652034,0.08219879,0.013763504,-0.0011352939
1773726884723,-0.34157544,2.611467,9.385248,0.01099525,0.035429142,-0.01099525,83.25,43.050003,-451.80002,0.9963016,0.08477787,0.013945454,-0.0011866547
1773726884728,-0.39900318,2.635395,9.428319,-0.017103724,-0.0036650836,-0.036650836,83.25,43.050003,-451.80002,0.9960834,0.08725417,0.014253723,-0.0012485869
1773726884733,-0.40378883,2.6473591,9.5048895,-0.02443389,-0.018325418,-0.04031592,83.55,42.525,-450.225,0.9958722,0.08958425,0.014549506,-0.001308809
1773726884738,-0.44207397,2.6832514,9.483355,-0.03420745,-0.052532863,-0.061084725,83.55,42.525,-450.225,0.995656,0.09189507,0.0149233155,-0.0013773624
1773726884743,-0.4755735,2.7215366,9.476176,-0.03420745,-0.06230642,-0.067193195,82.950005,42.975002,-451.95,0.9954353,0.094184265,0.015358822,-0.0014531928
1773726884748,-0.54257256,2.714358,9.442677,-0.028098974,-0.057419643,-0.070858285,83.55,43.350002,-452.85,0.99521726,0.096364446,0.01593945,-0.0015433779
1773726884753,-0.5712864,2.7670002,9.387642,-0.014660334,-0.043981,-0.070858285,83.55,43.350002,-452.85,0.99498826,0.098596424,0.016566578,-0.0016416329
1773726884758,-0.59760743,2.7646074,9.387642,-0.0012216945,-0.023212196,-0.06963659,82.5,43.2,-451.80002,0.9947649,0.100712225,0.017227005,-0.0017441005
1773726884763,-0.6550352,2.7813573,9.406784,0.01099525,-0.0036650836,-0.0659715,82.5,43.2,-451.80002,0.99454296,0.10274854,0.017990539,-0.0018586444
1773726884768,-0.69092757,2.7813573,9.440284,0.028098974,0.017103724,-0.061084725,82.5,43.2,-452.40002,0.9943283,0.10466143,0.018797755,-0.001978622
