,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1773727375003,-0.97806627,1.6998014,8.665009,0.4422534,0.16248538,0.42759308,124.50001,7.8750005,-444.225,,,,
1773727375008,-0.9302098,1.7356937,8.203195,0.4263714,0.11972606,0.4471402,124.50001,7.8750005,-444.225,,,,
1773727375013,-0.86081797,1.7931215,7.70788,0.40560257,0.07818845,0.46424392,124.50001,7.8750005,-444.225,,,,
1773727375018,-0.67417777,1.8074784,7.023533,0.3787253,0.03787253,0.48134765,124.50001,7.8750005,-444.225,,,,
1773727375023,-0.6454639,1.8146569,6.750751,0.35062632,0.01099525,0.49845135,123.15,8.1,-444.075,,,,
1773727375028,-0.6789634,1.8840487,6.355935,0.32619244,-0.017103724,0.5192202,123.15,8.1,-444.075,,,,
1773727375033,-0.5808577,1.8888344,6.102296,0.3127538,-0.0659715,0.5326588,126.00001,5.4,-438.30002,,,,
1773727375038,-0.5449654,1.8960128,5.7744794,0.29931515,-0.11728267,0.54609746,126.00001,5.4,-438.30002,,,,
1773727375043,-0.51864433,1.907977,5.4346986,0.2858765,-0.16859384,0.5583144,123.525,7.275,-442.65002,,,,
1773727375048,-0.4444668,1.89362,5.104489,0.2663294,-0.21990502,0.56808794,123.525,7.275,-442.65002,,,,
1773727375053,-0.35832518,1.9510478,4.8436713,0.23212196,-0.29565006,0.5741964,123.3,7.5000005,-442.35,,,,
1773727375058,-0.26261228,2.0108683,4.494319,0.21746163,-0.32374904,0.5778615,123.3,7.5000005,-442.35,,,,
1773727375063,-0.19800608,2.0611176,4.154538,0.18203248,-0.37261683,0.5827483,122.850006,7.1250005,-442.65002,,,,
1773727375068,-0.04965107,2.1352952,3.685545,0.114839286,-0.42148462,0.5949652,122.850006,7.1250005,-442.65002,,,,
1773727375073,0.07716853,2.2094727,3.4223347,0.0659715,-0.4446968,0.6047388,123.9,6.15,-441.15002,,,,
1773727375078,0.21355942,2.2645075,3.2356944,0.015882028,-0.45813546,0.61573404,123.9,6.15,-441.15002,,,,
1773727375083,0.29970104,2.3003998,3.1040893,-0.030542362,-0.46180052,0.6267293,123.3,7.425,-441.975,,,,
1773727375088,0.4671986,2.4008985,3.0035906,-0.07574506,-0.45935714,0.63528115,122.025,7.3500004,-442.12503,,,,
1773727375093,0.62512493,2.475076,2.929413,-0.11361759,-0.4434751,0.6426113,122.025,7.3500004,-442.12503,,,,
1773727375098,0.7830512,2.5301108,2.9126635,-0.14782503,-0.41781953,0.6499415,121.05,6.9750004,-442.725,,,,
1773727375103,0.96490574,2.5731816,2.9341989,-0.1795891,-0.38727716,0.65116316,121.05,6.9750004,-442.725,,,,
1773727375108,1.1443675,2.6784658,2.9892337,-0.2211267,-0.33963108,0.6474981,122.325005,6.2250004,-440.85,,,,
1773727375113,1.2687942,2.7239294,3.0155547,-0.23456535,-0.31886226,0.6426113,122.325005,6.2250004,-440.85,,,,
1773727375118,1.4051851,2.7670002,3.0514472,-0.2699945,-0.28221142,0.6340594,121.575005,6.3,-441.75003,,,,
1773727375123,1.5439688,2.7933214,3.173481,-0.3310792,-0.20768806,0.61695576,121.575005,6.3,-441.75003,,,,
1773727375128,1.7306089,2.7789643,3.6233318,-0.3738385,-0.16492876,0.599852,120.075005,7.275,-443.92502,,,,
1773727375133,1.8358932,2.757429,3.9008992,-0.41781953,-0.12461284,0.5778615,120.075005,7.275,-443.92502,,,,
1773727375138,1.8598214,2.7263224,4.228716,-0.4654656,-0.08551861,0.5522059,119.325005,6.9750004,-442.87503,,,,
1773727375143,1.905285,2.6545377,4.6953163,-0.51433337,-0.036650836,0.5204419,119.325005,6.9750004,-442.87503,,,,
1773727375148,1.9028922,2.6018956,5.209773,-0.5583144,0.014660334,0.48623443,122.175,6.15,-438.825,,,,
1773727375153,1.8311075,2.5731816,5.8510494,-0.5949652,0.0684149,0.4471402,122.175,6.15,-438.825,,,,
1773727375158,1.7258233,2.5229323,6.6574306,-0.6206208,0.11850437,0.4043809,118.65,7.8,-444.15002,,,,
1773727375163,1.6013966,2.4272194,7.475776,-0.6328378,0.1575986,0.3616216,118.65,7.8,-444.15002,,,,
1773727375168,1.4913267,2.3075783,8.346764,-0.6145123,0.21135315,0.2895416,115.950005,9.6,-446.475,,,,
1773727375173,1.4003994,2.309971,9.342177,-0.59618694,0.2235701,0.26510772,115.950005,9.6,-446.475,,,,
1773727375178,1.2759727,2.2429721,10.69173,-0.49967307,0.23578705,0.18203248,115.65,9.975,-447.975,,,,
1773727375183,1.1826526,2.1927228,11.519647,-0.4043809,0.2247918,0.11606098,115.65,9.975,-447.975,,,,
