,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1229.415,1.2287700365917869,3.956379278786423,-9.239817042531975,2.0408170338584872,-0.8818922668498834,1.1576907611229017,54.07283191914609,101.18822264341355,-123.19037381933047,0.9987512,0.047713585,-0.014795288,0.0007068189
1229.415,1.2296593152646778,3.9521105895711592,-9.231800980330666,1.7907014228223275,-0.7030904290024418,0.8930858743747854,54.1713014505958,101.22798443399786,-123.13547561201501,0.9950142,0.09527662,-0.029346354,0.0028100314
1229.415,1.2296443130535106,3.948149253156578,-9.22352952698991,1.5402245721800112,-0.5251638070010319,0.6352234480704991,54.26973259318604,101.26755542297714,-123.08189185743008,0.9888031,0.14263538,-0.043406818,0.0062614563
1229.415,1.2287029675187833,3.9445363542119223,-9.214876473835472,1.2913910741299548,-0.3505057697459829,0.3876059540387262,54.36670922499146,101.30607582230958,-123.02991347742596,0.9801334,0.18973188,-0.056741606,0.010983904
1229.415,1.2268397982544959,3.9413040230542458,-9.205724259261356,1.046206936185045,-0.1814855035676488,0.15359035665956122,54.46082059338311,101.3426650736702,-122.97977626387205,0.9690218,0.23650184,-0.06912968,0.016871959
1229.415,1.2240867960400952,3.938474714844223,-9.195967081211933,0.8066567926600173,-0.02040887456019986,-0.06367650472125023,54.55069029370265,101.37643688461885,-122.9316580084987,0.95548826,0.282873,-0.08036738,0.023792824
1229.565,1.2205036231064923,3.9360607316251888,-9.18551386795754,0.5746813448362843,0.13052008583977803,-0.26131968731543787,54.635004556991014,101.40651535979413,-122.88567750982311,0.939557,0.32876372,-0.09027216,0.031587448
1229.565,1.2161770920175048,3.934064004303743,-9.174291044023128,0.3521552853126321,0.26923636190434097,-0.43679374157599987,54.712539209312936,101.43205195836714,-122.84189549188821,0.92125887,0.37408188,-0.098686695,0.04007224
1229.565,1.2112199077976,3.932476145435196,-9.162245030533684,0.14086594788055048,0.39384910758682623,-0.5879348574026831,54.782184696634516,101.45224297053691,-122.80031741057866,0.9006322,0.41872424,-0.10548305,0.04904145
1229.565,1.2057686760651283,3.931278777007529,-9.149344422863217,-0.05750709201717562,0.5026741095871589,-0.7130063659292515,54.842968615065516,101.46634717236049,-122.76089806382548,0.8777257,0.4625767,-0.11056688,0.058270663
1229.565,1.1999811986260511,3.93044413047259,-9.135581793261933,-0.2414112590234543,0.5942629385544702,-0.8107365122619442,54.89407524541291,101.47370329091358,-122.7235478638791,0.8525997,0.50551516,-0.11388116,0.06752132
1229.565,1.1940330967870572,3.9299359092234947,-9.120975072012333,-0.40943887343246066,0.667428222616122,-0.8803475498763933,54.93486166192255,101.47374689180351,-122.68814057483243,0.8253282,0.5474073,-0.11540925,0.07654637
1229.715,1.1881138210826891,3.9297103967402864,-9.105568467532102,-0.5603435315774221,0.7212645438723471,-0.9215753665495012,54.96487006604019,101.46602628939917,-122.654522268476,0.81093526,0.5678956,-0.115488335,0.08087614
1229.715,1.182422123697657,3.9297177869023234,-9.089432893584153,-0.6930548214380708,0.7551645350637232,-0.9346790319199018,54.9838360849914,101.45021707762547,-122.62252120802516,0.7961056,0.5879876,-0.11513272,0.08503471
1229.715,1.1771610861295199,3.929903706674146,-9.072665880240482,-0.8066912429106777,0.7688298389176091,-0.9204398547093088,54.99169286976407,101.42613488641156,-122.59195833377707,0.7808952,0.60762286,-0.114361584,0.088985965
1229.715,1.1725328091253353,3.9302108956841857,-9.055390954331765,-0.900571220543174,0.7622766851503099,-0.880149749485344,54.98857092534861,101.39374598626415,-122.56265799862638,0.76536375,0.62674624,-0.113200195,0.092698134
1229.715,1.1687328842182245,3.9305810022937973,-9.037756484643594,-0.9742221139678019,0.7358359380427779,-0.815588934376849,54.97479370545118,101.35317539108615,-122.53445858562482,0.74957377,0.6453087,-0.111678995,0.096144535
1229.715,1.1659447759099049,3.9309564517435316,-9.019933996929625,-1.0273871476105407,0.6901475691080532,-0.7289932078042549,54.950869101936725,101.30471214712527,-122.50722263515586,0.7335885,0.66326714,-0.10983249,0.09930401
1229.865,1.1643342503721101,3.9312823389904867,-9.00211597373362,-1.0600301964602887,0.626149612741844,-0.6230112792580313,54.91747705362307,101.24881154338154,-122.48084611622892,0.7174721,0.6805865,-0.107698254,0.102161445
1229.865,1.164043990217225,3.9315082970175492,-8.984513163875866,-1.0723383787748024,0.5450617659668409,-0.5006528515049108,54.87545358748463,101.1860940352115,-122.45526649495869,0.7012872,0.6972383,-0.1053156,0.10470758
