,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1336378,-1.0191469434394191,5.803145727080155,-8.372243023945286,-0.008630639494869365,0.07453303562586752,-0.04068124086598828,28.357833183516387,-29.681204586192802,-138.99858205653354,0.99875623,0.04911047,0.008606721,-0.0004232065
1336378,-1.0248912297803139,5.792910087332644,-8.359467919191388,-0.007127033762939025,0.07526218048146419,-0.04004108511947278,27.82102108209559,-29.5325011266723,-139.2009209897761,0.99503464,0.09803355,0.017109195,-0.0016856447
1336378,-1.0303836814417062,5.782174980231084,-8.346522757983871,-0.005407655912713638,0.07605178054635629,-0.03942688807248662,27.287776648157756,-29.396541195676868,-139.40236360499048,0.98885304,0.14667097,0.025358139,-0.0037612289
1336378,-1.0355169597928557,5.771081965088717,-8.333670691048301,-0.0034623766792894455,0.07688590738201426,-0.03882665235281849,26.762571139025262,-29.27609668180096,-139.6017487969482,0.98023355,0.19492434,0.03321074,-0.00660412
1336378,-1.0401924634445217,5.759786941251424,-8.321183104258086,-0.0012863759357643974,0.07774731622420541,-0.03822810734469272,26.24973885722033,-29.17358763017289,-139.7979916197631,0.9692024,0.24269445,0.040533077,-0.010149741
1336378,-1.044320898433306,5.748457610259979,-8.309333727239224,0.0011192488401949167,0.07861763922648131,-0.037618904939714586,25.75342458675578,-29.091025941878478,-139.99009156038954,0.9557907,0.28988096,0.047202546,-0.01431602
1336409,-1.0478226122387633,5.737270537991063,-8.298392434459448,0.0037470012656594686,0.07947760944485888,-0.03698681937121659,25.27753443558958,-29.029967291366663,-140.17713868976432,0.9400348,0.33638176,0.05311019,-0.019004935
1336409,-1.050627698907448,5.7264078607709665,-8.288618867693417,0.006582652536490764,0.08030731451889107,-0.03631994959120502,24.825690737236435,-28.99147244226466,-140.3583176993152,0.92197675,0.38209304,0.058162928,-0.024104351
1336409,-1.0526758878303628,5.716053690037539,-8.28025601834063,0.009605073445534325,0.08108647838559267,-0.035606922789795104,24.401191585016893,-28.97607894592217,-140.53290988589845,0.9016648,0.42690927,0.062285535,-0.029490197
1336409,-1.0539162335318912,5.7063902800432285,-8.273523914887909,0.012786246215661223,0.0817947687047493,-0.03483709778173173,24.006975485924922,-28.98378398530812,-140.7002932002967,0.8791543,0.47072345,0.06542244,-0.035028975
1336409,-1.0543066280741058,5.697594032077476,-8.268613564578752,0.016091466424010322,0.08241212698760847,-0.0340007670827455,23.645591529384514,-29.01403888443804,-140.85994052171722,0.8670969,0.49221542,0.06661141,-0.037812572
1336409,-1.0538131612703872,5.689831416479762,-8.265681298860592,0.019479740833515568,0.08291911771864127,-0.033089356560840305,23.319175371039975,-29.065755545727722,-141.011416361933,0.85455906,0.5133431,0.06754028,-0.040572196
1336499,-1.0524093567636008,5.68325490006809,-8.264843669276706,0.022904382126166696,0.08329729205685686,-0.032095621566678785,23.0294312349628,-29.137324810413027,-141.15437223663767,0.8415859,0.5340482,0.06820781,-0.04328287
1336499,-1.0500753141018966,5.6779989712942776,-8.266173034072818,0.026313796456939466,0.08352956101579838,-0.03101383841774232,22.777620040988353,-29.226646466625755,-141.2885409673037,0.8282269,0.5542771,0.06861658,-0.04592051
1336499,-1.0467967882039095,5.674176358256169,-8.269693965896755,0.029652454536147732,0.08360057236818759,-0.02983999003013264,22.56455366896253,-29.331170362219783,-141.41373019364798,0.81453466,0.57398176,0.068772785,-0.048462424
1336499,-1.0425642380288074,5.671874535479579,-8.275380597660893,0.03286203172746269,0.08349708492177761,-0.02857194435976625,22.39059528001507,-29.44794782136633,-141.5298153843096,0.80056345,0.5931194,0.0686859,-0.050887827
1336499,-1.037371875859006,5.671152613999335,-8.283155007071466,0.03588269755064568,0.08320833328766407,-0.027209624134235184,22.255665527978486,-29.573692321508293,-141.6367326314038,0.7863697,0.611654,0.06836832,-0.053178247
1336499,-1.031216747387679,5.672038705633048,-8.292886720748117,0.03865453013597912,0.08272637583171744,-0.025755166133690322,22.15925441298022,-29.704848166414717,-141.73447150341173,0.7720095,0.6295553,0.06783493,-0.055317763
1336529,-1.0240978708214419,5.674527846414894,-8.304393396583489,0.04111902672423848,0.08204641818426024,-0.02421306802257971,22.100438455117533,-29.837665697296536,-141.82306821086868,0.757539,0.6467995,0.067102544,-0.05729328
1336529,-1.016015460520604,5.678580555953064,-8.317442718424676,0.04322067737024084,0.08116710450204316,-0.022590320455510206,22.07790279986259,-29.96828142213622,-141.90259931128,0.74301296,0.66336906,0.06618945,-0.059094574
