t_ms,t_sec_rel,q_w,q_x,q_y,q_z,roll_deg,pitch_deg,yaw_deg
,0.0,0.9999987234037343,0.0015804430555926973,-0.00023513102617085983,1.020051432299886e-05,0.18110524925472557,-0.026945844829558387,0.001126307965096487
,0.005,0.9999949122768269,0.003154926843902122,-0.0004705658596136575,2.061170418271089e-05,0.36152759399080114,-0.0539300608042045,0.0021917935437665514
,0.01,0.9999885945015153,0.004723455390782884,-0.0007063008256231772,3.122817824271675e-05,0.5412680073329216,-0.0809521193833671,0.0031961498896778654
,0.015,0.999979797796161,0.006286035442727469,-0.0009423323267257494,4.2044592093244875e-05,0.7203277644788978,-0.10801149875259215,0.004139078339252307
,0.02,0.9999685496933044,0.007842676674153809,-0.0011786568421122102,5.305565350807475e-05,0.8987084665718126,-0.13510768385468572,0.005020288541980235
,0.025,0.9999548775156659,0.009393391931715005,-0.001415270927000099,6.42561284339753e-05,1.076412068826758,-0.1622401664168449,0.005839498634307689
,0.03,0.999939485753361,0.010893837467039544,-0.0015324542048323398,2.6845029621451845e-05,1.2483661956115981,-0.17562947659687897,0.0011630064358402212
,0.035,0.9999218876422598,0.012389364634645687,-0.0016498943595851042,-1.0319499314471675e-05,1.4197606788465025,-0.1890348908452433,-0.003524836756499085
,0.04,0.9999021044135609,0.013880020767701158,-0.0017675919772130505,-4.723793932936575e-05,1.5906013108548291,-0.20245657932578165,-0.008224004324984687
,0.045,0.9998801568452976,0.015365858784430511,-0.0018855476286106269,-8.391055063001697e-05,1.7608945171147241,-0.21589470951508655,-0.012934448358399245
,0.05,0.9998560652155202,0.016846937675494573,-0.002003761866538522,-0.000120337349251827,1.9306474123604125,-0.22934944593928036,-0.017656097436316794
,0.055,0.9998298492504596,0.018323323048932652,-0.0021222352221809955,-0.00015651808095647025,2.099867863304938,-0.24282094988016595,-0.022388854158989932
,0.06,0.9998038481959419,0.01966733544614581,-0.0023195643078832272,-0.0002840254497018089,2.2539494806680067,-0.2651111874798103,-0.03776856872832405
,0.065,0.9997760866308901,0.021006459649593082,-0.0025171519140769734,-0.0004113395855983833,2.407481249683721,-0.287390819271959,-0.05318536155958894
,0.07,0.9997465830364077,0.02234073737906651,-0.0027149987584615056,-0.0005384627456091735,2.560468224751446,-0.30966010903710217,-0.06863922723516579
,0.075,0.9997153554450736,0.023670216518804292,-0.002913105558403418,-0.000665397090892043,2.7129161616660653,-0.3319193170533137,-0.08413015605670998
,0.08,0.9996824213789284,0.02499495205845159,-0.0031114730247959847,-0.0007921446675728178,2.8648316257237787,-0.3541686989404039,-0.09965813282487626
,0.085,0.9996477977752777,0.02631500722956383,-0.0033101018547099133,-0.000918707383667901,3.0162221222779166,-0.3764085042800387,-0.11522313536849159
,0.09,0.9996090397508128,0.027729440932217707,-0.0034434842868430035,-0.0009940674074827777,3.178413826456715,-0.3912842949956473,-0.12481208570418656
,0.095,0.9995683707632824,0.029139893061368632,-0.0035770795080670064,-0.0010692540400255052,3.3401582584661313,-0.4061591552008604,-0.13442263476235528
,0.1,0.9995258010475417,0.030546571221448396,-0.0037108877593844203,-0.0011442634837902648,3.5014795047737515,-0.42103320017039153,-0.1440543137394872
,0.105,0.9994813387059921,0.031949711566718185,-0.0038449091326865003,-0.001219091072412177,3.6624049236105773,-0.43590652154413584,-0.15370657904236557
,0.11,0.9994349894001501,0.03334958229237527,-0.003979143544225612,-0.0012937311545292798,3.8229655463883367,-0.4507791834188291,-0.163378802493897
,0.115,0.9993867560142067,0.03474648711275785,-0.004113590705257301,-0.0013681769743228126,3.9831964778287237,-0.4656512180290715,-0.17307026143652077
,0.12,0.9993382884289516,0.03608090413008062,-0.0043810551244905325,-0.0013999975163149793,4.136280676498501,-0.4959175449351988,-0.17844247971647917
,0.125,0.9992881554734575,0.0374101757842781,-0.004648820958666061,-0.0014316221354913874,4.28878603263667,-0.5262066206871863,-0.18387208887195453
,0.13,0.9992363719505173,0.038734437792625254,-0.004916886007192786,-0.0014630557231719863,4.440728376648451,-0.5565181529329813,-0.18935937317427445
,0.135,0.9991829500939747,0.04005387001645747,-0.005185248022335599,-0.0014943028987738796,4.592128599343118,-0.5868518320520316,-0.19490462606814554
,0.14,0.9991278984821073,0.04136871585516336,-0.005453904657806586,-0.00152536789223479,4.743014877979666,-0.6172073208472407,-0.20050815516690113
,0.145,0.9990712203791381,0.04267931151705793,-0.005722853390349622,-0.0015562543629710135,4.893426036053981,-0.6475842388220255,-0.20617028976996882
,0.15,0.9990054749404846,0.04416213547278789,-0.005943670107589753,-0.0015619267178987057,5.06357602877501,-0.6725282027331965,-0.20889905154958577
,0.155,0.9989375496434107,0.04564330940374932,-0.006164662907220717,-0.0015675300099941834,5.233550223527477,-0.6974863141552641,-0.2116943019982903
,0.16,0.9988674295458295,0.04712329462307241,-0.00638582869252207,-0.001573050629792778,5.4034019414913335,-0.7224580715737587,-0.21455476585713715
,0.165,0.998795095551541,0.048602581260671324,-0.006607164148096538,-0.0015784736006621736,5.573187821300864,-0.7474429540226378,-0.21747907629886135
,0.17,0.9987205244545438,0.05008168317641982,-0.006828665740407857,-0.001583782707159191,5.74296723779266,-0.7724404219559058,-0.2204657892917461
,0.175,0.998643689106718,0.05156113131063006,-0.007050329726083466,-0.0015889606810479248,5.912801541345081,-0.7974499189668196,-0.22351340259865385
,0.18,0.9985656089097481,0.053006787049770694,-0.007392639907946682,-0.0015343091459788473,6.0787616371892925,-0.8366291471427327,-0.220494592902368
